Country,Year,LHS_div_eq,TED,VIX,SENT,FEDFUNDS,INTERNET,ERM,Euro,US_bond_spread,Credit_to_GDP,Market_cap_to_GDP,Num_public_firms,Trade_to_GDP,Turnover_Domest_Total,Agg_Fin_Risk,Agg_Econ_Risk,Agg_Pol_Risk,Life_Exp,Internet_Usage,Equity_Liq,Dev_PC1
Macedonia,2004,NA,0.25,15.48,0.02,1.35,14.0327318252,0,0,0.9,20.8838759767,7.270076512,68,80.8701288526,8.5355036212,NA,NA,NA,73.9607561,24.44,NA,0.29603653882833114
Macedonia,2005,100,0.41,12.81,-0.02,3.21,15.6291589559,0,0,0.66,23.3320473209,10.3214537549,57,85.8410034787,18.3363385562,NA,NA,NA,74.08890244,26.45,NA,0.6385017844892452
Macedonia,2006,97.9327829768,0.47,12.81,0.11,4.96,17.411462466,0,0,0.95,28.0142754749,16.0089097246,43,92.5516664676,22.3902274997,NA,NA,NA,74.20673171,28.62,NA,1.1354171324180224
Macedonia,2007,100,0.94,17.54,0.03,5.02,20.3581214237,0,0,0.94,34.9610742071,32.5711523946,38,106.0932341796,26.4524251378,NA,NA,NA,74.32295122,36.3,NA,1.6449357500196788
Macedonia,2008,88.1728966989,1.55,32.69,-0.21,1.93,23.0514567079,0,0,1.21,42.1273108535,8.310023483,38,111.5700547133,8.8208355656,NA,NA,NA,74.44639024,46.04,NA,1.9191410439961762
Macedonia,2009,88.5105549847,0.54,31.48,-0.02,0.16,25.5958603885,0,1,3.09,43.4603254152,9.8088782946,36,87.1769949496,7.0236249987,NA,NA,NA,74.57895122,51.77,NA,2.0571725586328546
Macedonia,2010,76.1064822014,0.21,22.55,-0.12,0.18,29.0941327557,0,1,0.99,44.2249639832,6.9118945828,34,97.8810691157,4.5627146322,NA,NA,NA,74.72263415,51.9,0.6355363985,2.4529719303267434
Macedonia,2011,77.090646894,0.28,24.2,NA,0.1,31.7488501299,0,0,1.05,44.8522825764,5.5300376819,32,113.1921255704,8.3265266895,NA,NA,NA,74.8745122,56.7,0.5623076923,2.937844698704339
Macedonia,2012,95.8159726275,0.34,17.8,NA,0.14,35.2826985799,0,0,1.38,47.1739732214,5.7367380979,32,112.2150489712,5.4443558323,NA,NA,NA,75.03126829,57.44994731,0.6477832512,3.1457768417081993
Malaysia,1986,100,0.86,NA,0.44,6.81,0,0,0,1.39,101.4660446406,53.5837907115,226,106.8778066598,7.8634137282,34.13,28.5,66,69.76656098,NA,0.3084291188,-1.1609814826436766
Malaysia,1987,83.1524822054,1.41,NA,0.06,6.66,0,0,0,1.36,89.5766171302,56.7172416255,232,111.9195920331,20.879141951,32.79,25.21,64.16,70.02539024,NA,0.2650519978,-1.1407481636389942
Malaysia,1988,65.6237709737,1.31,NA,0.06,7.57,0,0,0,1.19,86.4624878207,65.3671418599,238,122.6242272383,10.8570702396,34.46,26.21,60.17,70.27573171,NA,0.338362069,-1.0881169928890864
Malaysia,1989,88.1660220361,1.18,NA,-0.3,9.22,0,0,0,1.03,95.6528845514,102.1818368611,249,136.6890622713,16.6417776219,38.8,25.15,59.84,70.52009756,NA,0.3150549451,-1.0953508440505186
Malaysia,1990,99.7565049933,0.79,23.06,-0.59,8.1,0.0495818521,0,0,0.95,69.4126686877,108.7329549391,268,146.888252534,22.3770853619,41.04,33.37,66.83,70.7574878,0,0.3125478927,-1.6662908512745163
Malaysia,1991,97.9605228521,0.61,18.37,-0.25,5.69,0.3316229736,0,0,1.41,73.761091746,115.4212173501,318,159.3126262738,18.8366959796,40.84,39.89,71.58,70.98887805,NA,0.315957045,-1.5125296945527826
Malaysia,1992,80.7949000885,0.4,15.45,0.01,3.52,0.2779049818,1,0,0.93,108.5299407357,150.4349773827,363,150.6122205188,20.8589892381,40.33,35.55,69.84,71.21429268,0.001047822,0.3491536674,-1.353725689892102
Malaysia,1993,97.5146384311,0.31,12.69,-0.12,3.02,0.2533874585,0,0,0.76,106.4604252205,320.9934526258,407,157.9413797309,6.5956294231,42.46,32.66,72.41,71.43521951,0.025538478,0.2402261652,-1.5214419514897282
